_G Int,G FWHM,G Shift,_2D Int,2D FWHM,2D Shift,_2D_MassCenter,_D Int,2D/G,D/G,_R Int,_Rp Int,R/G,Rp/G,_Target
1597.035,16.9738,1585.339,946.064,55.7449,2693.044,2691.6568,62.0034,0.592387769,0.038824071,0,0,0,0,BLG-AB
1779.0394,14.8194,1586.308,921.0962,54.2158,2695.161,2693.2937,53.0047,0.517749185,0.029794,0,0,0,0,BLG-AB
1500.0369,18.513,1586.513,956.0903,55.6902,2697.033,2694.7549,61.0029,0.637377854,0.0406676,0,0,0,0,BLG-AB
1603.0057,17.341,1586.733,952.06,54.9242,2697.272,2695.0719,72.0027,0.593921781,0.044917308,0,0,0,0,BLG-AB
1787.034,14.9174,1587.284,929.0583,54.81,2697.74,2695.51,60.0024,0.51988843,0.03357653,0,0,0,0,BLG-AB
1570.0153,16.6315,1585.672,921.0962,55.7768,2693.452,2692.1761,61.0029,0.58667976,0.038854972,0,0,0,0,BLG-AB
1906.0426,14.3489,1585.042,957.0735,54.4616,2694.671,2692.7859,80.001,0.502125976,0.041972304,0,0,0,0,BLG-AB
1824.0218,14.7523,1587.386,934.0715,55.0835,2698.828,2696.4883,57.0008,0.512094483,0.031250065,0,0,0,0,BLG-AB
1456.0159,16.9779,1585.149,945.081,55.4471,2689.988,2690.5317,75.0043,0.649087005,0.05151338,0,0,0,0,BLG-AB
1726.0116,15.4527,1584.028,966.0185,54.792,2691.256,2689.7484,56.0002,0.559682507,0.032444857,0,0,0,0,BLG-AB
1649.0001,15.8259,1586.935,981.0584,54.8529,2697.605,2695.3925,55.0057,0.594941383,0.033357002,0,0,0,0,BLG-AB
1703.0397,16.008,1586.11,926.011,55.4159,2695.628,2693.6475,60.0024,0.543740114,0.035232532,0,0,0,0,BLG-AB
1757.0289,15.4267,1586.249,921.0962,54.8495,2695.459,2693.2201,54.0052,0.524235088,0.03073666,0,0,0,0,BLG-AB
1660.0306,16.3574,1586.673,953.0432,54.544,2696.51,2694.6073,64.0045,0.574111827,0.038556217,0,0,0,0,BLG-AB
1755.0049,15.4949,1585.393,938.0034,54.4235,2694.925,2692.7009,65.005,0.53447338,0.037039783,0,0,0,0,BLG-AB
1622.0308,16.8113,1586.044,925.0281,54.9083,2693.911,2691.9861,56.0002,0.570290096,0.034524745,0,0,0,0,BLG-AB
1686.0385,17.0277,1583.198,961.0054,55.4603,2691.208,2689.8684,85.0037,0.569978325,0.050416227,0,0,0,0,BLG-AB
1797.0019,14.7681,1584.271,963.0696,55.042,2691.707,2690.2309,57.0008,0.53593132,0.031719944,0,0,0,0,BLG-AB
1889.0414,14.8001,1584.813,995.0166,53.6306,2694.283,2692.4579,99.0051,0.526730965,0.052410233,0,0,0,0,BLG-AB
1691.0479,16.0736,1584.715,948.0301,54.9208,2692.194,2690.54,51.0036,0.560616941,0.030160943,0,0,0,0,BLG-AB
1725.0502,15.4455,1585.62,940.0676,55.0087,2695.117,2693.0436,54.0052,0.544950866,0.031306451,0,0,0,0,BLG-AB
1702.0279,15.8926,1584.678,958.0564,55.3578,2693.531,2691.8678,58.0013,0.562891125,0.034077761,0,0,0,0,BLG-AB
1877.0495,14.3142,1585.571,938.0034,55.9637,2695.28,2693.057,58.0013,0.49972225,0.030900251,0,0,0,0,BLG-AB
1692.0092,15.6472,1586.993,951.0771,53.8494,2697.198,2695.0291,64.0045,0.562099249,0.037827513,0,0,0,0,BLG-AB
1600.0203,17.1415,1586.138,912.0527,56.9603,2694.378,2692.7859,58.0013,0.570025705,0.036250353,0,0,0,0,BLG-AB
1706.0251,15.5522,1585.499,914.0186,55.8696,2693.038,2691.212,58.0013,0.535759175,0.033997917,0,0,0,0,BLG-AB
1684.0146,15.9435,1585.158,913.0356,56.1445,2692.747,2690.7699,53.0047,0.54217796,0.031475202,0,0,0,0,BLG-AB
1761.0261,16.7333,1583.992,969.0659,54.5607,2690.874,2689.8343,71.0022,0.550284803,0.040318653,0,0,0,0,BLG-AB
1678.0439,15.605,1586.36,943.0166,55.1472,2694.874,2693.2834,57.0008,0.561973736,0.033968599,0,0,0,0,BLG-AB
1765.0235,14.7839,1586.919,951.0771,53.9166,2696.333,2694.4062,54.0052,0.538846707,0.03059744,0,0,0,0,BLG-AB
1828.019,14.681,1585.97,927.0923,55.2844,2694.093,2692.4301,56.0002,0.507156818,0.030634364,0,0,0,0,BLG-AB
1743.013,15.1326,1585.66,876.0755,55.5067,2692.782,2691.0125,61.0029,0.502621323,0.034998534,0,0,0,0,BLG-AB
1760.0142,14.9796,1586.336,895.0469,56.1549,2694.635,2692.5243,52.0041,0.508545272,0.029547546,0,0,0,0,BLG-AB
1466.0343,17.8989,1586.817,907.0393,56.8578,2694.615,2693.2834,58.0013,0.618702646,0.039563399,0,0,0,0,BLG-AB
1825.0337,15.3554,1585.767,938.0034,54.9208,2696.293,2693.6653,72.0027,0.513964975,0.039452806,0,0,0,0,BLG-AB
1713.0078,15.6521,1585.466,961.0054,54.2275,2694.666,2692.6502,57.0008,0.561004684,0.033275272,0,0,0,0,BLG-AB
1829.0311,15.044,1585.136,895.0469,56.6272,2691.775,2690.1157,52.0041,0.489355758,0.028432595,0,0,0,0,BLG-AB
1651.0241,16.7631,1585.941,951.0771,54.508,2694.411,2692.8556,73.0033,0.576052827,0.04421698,0,0,0,0,BLG-AB
1743.013,15.4369,1586.991,901.0432,54.9824,2696.299,2694.0769,55.0057,0.516945771,0.031557825,0,0,0,0,BLG-AB
1560.0472,17.2162,1586.889,956.0903,55.6424,2696.657,2694.7513,71.0022,0.612859854,0.045512854,0,0,0,0,BLG-AB
1724.0384,15.6875,1585.533,917.0659,54.9762,2693.748,2691.8705,62.0034,0.531928929,0.035964048,0,0,0,0,BLG-AB
1814.0031,14.5242,1586.798,887.0847,55.3086,2695.017,2692.9933,51.0036,0.489020498,0.0281166,0,0,0,0,BLG-AB
1809.0443,14.2652,1587.858,910.0867,54.3003,2697.926,2695.5856,50.0031,0.503075961,0.027640617,0,0,0,0,BLG-AB
1878.0109,13.9346,1584.82,928.0752,54.177,2691.528,2690.0041,64.0045,0.494179879,0.034081006,0,0,0,0,BLG-AB
1918.996,14.4299,1584.435,980.0752,54.5143,2693.658,2691.8159,70.0017,0.510722899,0.036478294,0,0,0,0,BLG-AB
1643.0294,16.5783,1582.97,940.0676,55.7338,2689.215,2687.4605,56.0002,0.572155069,0.034083505,0,0,0,0,BLG-AB
1762.0382,15.1831,1584.347,938.0034,54.5551,2691.818,2690.2131,56.0002,0.532339991,0.03178149,0,0,0,0,BLG-AB
1930.9879,14.7828,1585.141,1002.0942,57.6272,2695.451,2693.439,58.0013,0.518954158,0.030037112,0,0,0,0,BLG-AB
1770.0326,15.0817,1584.402,921.0962,54.7601,2691.223,2689.7409,52.0041,0.520383749,0.029380306,0,0,0,0,BLG-AB
1622.0308,17.1235,1582.995,943.0166,56.2782,2688.595,2687.5876,62.0034,0.581380206,0.038225785,0,0,0,0,BLG-AB
1692.0092,15.6306,1588.487,926.011,52.5772,2699.616,2696.8421,58.0013,0.547284849,0.034279542,0,0,0,0,BLG-AB
1586.0045,17.2675,1587.389,941.0508,54.3827,2697.448,2695.2634,69.0011,0.593346866,0.043506245,0,0,0,0,BLG-AB
1752.0196,15.1138,1586.704,904.0903,54.8439,2695.289,2693.0832,58.0013,0.516027503,0.033105394,0,0,0,0,BLG-AB
1700.0037,15.5398,1587.746,890.0337,55.2435,2698.664,2695.9774,58.0013,0.523548096,0.034118338,0,0,0,0,BLG-AB
1708.0491,15.4286,1588.231,880.0073,55.8412,2698.91,2696.4515,55.0057,0.515211946,0.032203817,0,0,0,0,BLG-AB
1639.032,17.0907,1583.951,983.0241,56.2851,2692.147,2690.722,67.0001,0.599758943,0.040877847,0,0,0,0,BLG-AB
1969.9996,14.2829,1584.427,1029.028,54.614,2694.456,2692.6268,69.0011,0.522349345,0.035025946,0,0,0,0,BLG-AB
1896.024,14.3157,1585.613,934.0715,55.5828,2695.129,2692.9878,58.0013,0.492647509,0.030591016,0,0,0,0,BLG-AB
1687.0506,15.6321,1584.621,899.0771,54.5323,2690.874,2689.5723,61.0029,0.532928354,0.036159496,0,0,0,0,BLG-AB
1940.9559,13.7604,1585.207,939.0847,54.526,2694.397,2692.4392,83.0026,0.483825882,0.042763774,0,0,0,0,BLG-AB
