G FWHM,G Shift,2D FWHM,2D Shift,2D/G,D/G,R/G,R'/G,_Target
14.6617,1585.739,28.6101,2680.303,2.41483591,0.067580094,0,0,SLG
15.5273,1593.092,35.9549,2683.92,1.023118189,0.080239061,0,0,SLG
15.7535,1584.047,30.2077,2677.425,2.576274062,0.068584071,0,0,SLG
14.9845,1589.178,34.0975,2678.076,1.217968246,0.07495298,0,0,SLG
13.7613,1587.191,29.1968,2682.655,2.084061568,0.057445761,0,0,SLG
13.7391,1587.369,27.2675,2681.426,2.332785091,0.055544883,0,0,SLG
13.4664,1595.465,33.5844,2686.441,1.118065828,0.06899983,0,0,SLG
14.679,1582.601,27.3373,2673.944,2.596352259,0.055331568,0,0,SLG
14.5332,1587.594,29.2664,2681.736,2.398197918,0.05326048,0,0,SLG
15.0321,1586.158,29.1075,2679.762,2.198699715,0.103554023,0,0,SLG
12.1707,1593.262,33.6238,2680.833,1.018184602,0.059949834,0,0,SLG
13.2217,1596.476,34.0394,2688.667,1.171060687,0.060361685,0,0,SLG
14.362,1585.265,28.1104,2678.686,2.437075326,0.055559364,0,0,SLG
16.811,1587.836,32.1916,2682.604,2.440724519,0.059239715,0,0,SLG
14.7247,1586.222,29.0825,2679.354,2.168032342,0.083043525,0,0,SLG
15.4205,1586.471,28.9083,2679.878,2.502807679,0.053696633,0,0,SLG
21.7618,1589.913,39.8615,2680.135,1.693216987,0.072975927,0,0,SLG
14.0982,1594.928,33.6225,2688.72,1.313412932,0.067778931,0,0,SLG
20.5068,1588.712,35.7208,2683.014,2.065155904,0.088539854,0,0,SLG
15.4492,1589.402,29.714,2684.601,2.509323617,0.05217469,0,0,SLG
14.0649,1582.754,27.5274,2673.673,2.425779325,0.062251933,0,0,SLG
14.868,1587.969,29.3617,2683.091,2.42618602,0.05326048,0,0,SLG
13.538,1584.618,28.929,2677.411,2.211482367,0.049684064,0,0,SLG
15.2009,1588.082,28.3276,2684.084,2.368540424,0.051546685,0,0,SLG
14.3738,1582.626,27.8401,2674.662,2.462419534,0.059059221,0,0,SLG
14.7548,1587.306,29.1768,2681.458,2.51665598,0.052164047,0,0,SLG
15.6612,1588.387,30.9742,2680.847,1.845523691,0.082544512,0,0,SLG
12.9424,1589.44,35.6904,2684.156,1.121817294,0.055608596,0,0,SLG
15.1048,1583.952,27.9957,2678.223,2.736384375,0.065051021,0,0,SLG
15.1099,1588.028,29.7958,2682.652,2.524963096,0.052773138,0,0,SLG
15.0528,1587.434,29.6006,2683.515,2.436413867,0.056464332,0,0,SLG
14.5723,1586.17,29.6949,2679.537,2.217655744,0.081330074,0,0,SLG
15.8397,1587.801,30.1837,2683.841,2.538056097,0.058508935,0,0,SLG
14.9593,1586.351,28.7232,2681.523,2.519030522,0.061626102,0,0,SLG
14.5123,1585.926,28.2588,2679.049,2.2097435,0.07258796,0,0,SLG
15.2193,1583.693,28.8523,2675.734,2.501449964,0.057509653,0,0,SLG
16.9161,1592.75,36.5623,2684.457,1.433312086,0.093270152,0,0,SLG
14.4546,1583.561,28.1778,2677.026,2.635732572,0.07040554,0,0,SLG
14.3157,1591.234,31.432,2687.022,1.879914689,0.071284449,0,0,SLG
13.6715,1596.192,34.6156,2688.51,1.165622,0.063896449,0,0,SLG
14.796,1587.503,28.5755,2680.552,2.496457772,0.052848316,0,0,SLG
15.9724,1583.95,30.7555,2676.428,1.967963625,0.096241753,0,0,SLG
16.8235,1586.558,31.4371,2680.278,2.617267467,0.055244403,0,0,SLG
14.9381,1587.075,28.7195,2679.941,2.426159196,0.046048251,0,0,SLG
14.8286,1585.973,28.003,2680.625,2.611077634,0.054470342,0,0,SLG
16.1642,1583.578,28.327,2678.174,2.72890594,0.066590919,0,0,SLG
13.5862,1588.032,28.6008,2682.184,2.278202695,0.051357896,0,0,SLG
14.7432,1584.358,30.0505,2679.741,2.528652425,0.080297173,0,0,SLG
13.7298,1585.213,28.513,2678.408,2.377836858,0.060084687,0,0,SLG
13.9742,1581.831,30.4218,2672.936,2.343610074,0.061970853,0,0,SLG
14.8503,1587.73,29.3423,2680.829,2.309430129,0.046432109,0,0,SLG
14.9068,1587.283,28.7565,2682.607,2.547746126,0.054947846,0,0,SLG
12.6487,1591.647,31.9223,2683.981,1.390770403,0.062671943,0,0,SLG
17.1424,1588.318,31.1633,2683.387,2.562014293,0.050399822,0,0,SLG
14.6944,1586.071,28.5653,2680.665,2.295624143,0.063510489,0,0,SLG
15.2357,1586.498,29.0472,2679.911,2.124729347,0.094976763,0,0,SLG
13.7311,1589.633,30.7047,2685.441,1.988334355,0.054687417,0,0,SLG
12.7079,1594.771,32.3129,2686.509,1.182483267,0.067521432,0,0,SLG
15.3311,1585.142,28.5491,2680.934,2.665159199,0.081312445,0,0,SLG
16.0732,1583.903,31.2038,2678.49,2.41219733,0.07700999,0,0,SLG
15.5729,1582.157,30.7258,2673.467,2.460591069,0.063694487,0,0,SLG
13.0546,1584.826,27.2901,2676.52,2.208280564,0.06288728,0,0,SLG
14.3119,1584.99,28.4352,2678.458,2.388549577,0.058284078,0,0,SLG
14.3648,1586.072,28.9314,2678.001,2.377564983,0.06989054,0,0,SLG
14.62,1587.29,29.1018,2680.805,2.127035812,0.081380521,0,0,SLG
14.698,1591.781,32.9361,2682.907,1.491291916,0.066160401,0,0,SLG
14.7558,1585.224,28.0211,2679.02,2.402297056,0.051661138,0,0,SLG
14.3006,1593.419,33.4535,2684.474,1.326906815,0.07142735,0,0,SLG
14.0503,1587.276,29.4117,2680.622,2.32444122,0.046432109,0,0,SLG
16.7985,1588.928,30.5262,2685.097,2.642700141,0.063021557,0,0,SLG
14.9742,1585.444,28.5499,2679.751,2.427079844,0.065633814,0,0,SLG
15.8658,1587.661,30.0222,2682.172,2.576142897,0.054266539,0,0,SLG
15.1292,1587.545,32.2062,2680.463,1.917436929,0.0814728,0,0,SLG
16.0595,1583.379,29.1418,2677.263,2.330815158,0.074109037,0,0,SLG
14.4148,1583.52,28.6449,2674.423,2.436644121,0.044978226,0,0,SLG
15.1297,1586.216,28.6768,2681.518,2.422665213,0.059120535,0,0,SLG
14.5246,1584.868,28.4978,2677.948,2.385032814,0.057714379,0,0,SLG
16.0684,1587.137,30.1882,2682.124,2.561399211,0.061109332,0,0,SLG
14.0686,1585.658,28.5891,2678.19,2.176833238,0.079473329,0,0,SLG
12.8233,1594.432,35.3109,2683.991,1.0352006,0.073169767,0,0,SLG
16.1232,1589.301,29.6939,2685.136,2.489635077,0.053367589,0,0,SLG
14.5015,1583.691,28.3486,2675.363,2.426203579,0.066952289,0,0,SLG
14.074,1584.872,28.6061,2678.513,2.43167217,0.062434623,0,0,SLG
16.7948,1586.76,28.9024,2681.702,2.789024118,0.047886271,0,0,SLG
14.462,1584.3,27.8057,2678.797,2.56945987,0.062910572,0,0,SLG
15.8423,1582.938,31.3008,2675.771,2.515378573,0.093409971,0,0,SLG
14.776,1584.058,29.0143,2678.291,2.560143073,0.070977061,0,0,SLG
15.123,1586.453,29.6206,2680.42,2.544080971,0.052437527,0,0,SLG
13.2771,1587.867,29.9908,2680.298,1.824486985,0.066853006,0,0,SLG
14.7942,1587.106,29.595,2682.929,2.357819405,0.072152549,0,0,SLG
13.9424,1587.313,29.0484,2681.471,2.408740752,0.052392338,0,0,SLG
12.2947,1584.295,27.3919,2674.614,2.040711488,0.063914021,0,0,SLG
14.4372,1587.06,29.1016,2680.181,2.457587054,0.048409209,0,0,SLG
14.6364,1587.385,29.6388,2681.457,2.415425956,0.049210136,0,0,SLG
12.7857,1586.531,27.5114,2680.501,2.186167289,0.053349253,0,0,SLG
16.6695,1583.463,31.4476,2677.474,2.520066719,0.141608784,0,0,SLG
14.0137,1588.719,29.3267,2684.636,2.038395882,0.061644528,0,0,SLG
14.3004,1585.225,31.2042,2681.005,2.368226399,0.055832463,0,0,SLG
